;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
VS;всего;751,8;681,2;661,0;596,2;552,3;528,0;511,8;481,4;468,8;496,2;494,2;489,4;491,4;508,8;473,3;476,5;497,3;512,2;464,2;483,8;502,6;532,5
ZD;железнодорожный;255,0;253,2;272,2;227,1;192,2;181,2 ;170,3 ;152,9 ;141,0 ;167,1 ;157,9 ;152,9 ;157,6 ;164,3 ;172,2 ;177,8 ;174,1 ;175,9 ;151,5;138,9;139,8;144,6
AVT;автобусный (включая маршрутные таксомоторы);250,7;212,3;200,3;193,8;188,2;181,3 ;179,2 ;171,6 ;171,8 ;173,7 ;172,1 ;170,7 ;166,2 ;168,7 ;142,3 ;136,0 ;149,9 ;152,1 ;141,5;140,6;138,6;133,3
TAX;таксомоторный;7,9;3,8;2,0;1,4;1,0;0,6 ;0,5 ;0,3 ;0,3 ;0,2 ;0,2 ;0,2 ;0,1 ;0,2 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1;0,1;0,1;0,1
TRA;трамвайный;24,1;26,0;26,3;25,9;25,1;25,3 ;25,1 ;25,5 ;26,2 ;25,1 ;23,2 ;21,9 ;20,2 ;18,7 ;13,5 ;11,1 ;8,7 ;8,2 ;7,1;6,7;6,4;6,3
TRO;троллейбусный;23,9;26,2;28,3;27,2;26,5;27,4 ;28,0 ;28,2 ;28,6 ;28,1 ;27,8 ;26,6 ;23,8 ;21,4 ;15,0 ;12,4 ;9,8 ;9,0 ;7,9;7,1;6,9;6,6
MET;метрополитенный;35,6;39,6;46,8;47,0;46,2;46,6 ;46,2 ;46,5 ;46,6 ;46,9 ;51,3 ;51,3 ;51,4 ;51,4 ;43,4 ;44,2 ;42,6 ;43,4 ;42,7;42,4;43,2;45,1
MOR;морской;0,5;0,5;0,3;0,3;0,3;0,2 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1 ;0,1;0,1;0,1;0,04
VVT;внутренним водный;3,7;1,9;1,6;1,2;1,1;0,9 ;0,9 ;0,8 ;0,8 ;1,0 ;1,0 ;1,0 ;0,9 ;1,0 ;0,9 ;0,9 ;1,0 ;0,8 ;0,8;0,8;0,7;0,6
VT;воздушный (с 2000 г. включая перевозки пассажиров нерегулярными перевозчиками);150,4;117,7;83,2;72,3;71,7;64,5 ;61,5 ;55,5 ;53,4 ;54,0 ;60,6 ;64,7 ;71,1 ;83,0 ;85,8 ;93,9 ;111,0 ;122,6 ;112,5;147,1;166,8;195,8
