;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
SH;Сельское хозяйство, охота и лесное хозяйство;615457;667431;850486;864183;981285;1194779;1486575;1504421;1451533;1973540;1951969
RYB;Рыболовство, рыбоводство;29613;59411;62541;55511;58072;61612;62686;80640;96978;98897;108932
DOB;Добыча полезных ископаемых;650619;769801;1426928;2064287;2509446;2865528;3284626;2885404;3842812;5157317;5801360
OBR;Обрабатывающие производства;1690865;1897671;2687557;3388460;4115971;5025239;6163936;5005344;5934657;7385485;8091724
EE;Производство и распределение электроэнергии, газа и воды;359600;414074;566482;608408;726982;855885;1033967;1388737;1527088;1814471;1845808
STR;Строительство;522587;703027;863142;989946;1201959;1633900;2225325;2101484;2587814;3101828;3444963
TOR;Оптовая и розничная торговля, ремонт;2207699;2572221;3040264;3610459;4673587;5744983;7137728;6060516;8020973;9329726;10514076
HOT;Гостиницы и рестораны;88968;93880;141584;167792;206724;286295;357969;343666;403276;462043;514327
TR;Транспорт и связь;993704;1244180;1662019;1897007;2247596;2750889;3258280;3249642;3662464;3971515;4350582
FIN;Финансовая деятельность ;297963;388012;511361;701153;977168;1253760;1537850;1707153;1773509;1956046;2328462
NED;Операции с недвижимым имуществом;1028996;1246749;1421356;1828782;2287578;3102833;3959385;4220603;4901520;5645781;6285588
GOS;Государственное управление;488825;651289;802514;959090;1189163;1466357;1884401;2203213;2423549;2672620;3520831
OB;Образование;280336;317928;400794;493206;619293;769859;970664;1134212;1225967;1386296;1583969
ZDR;Здравоохранение и предоставление соц. услуг;322264;375870;473866;564655;765453;950479;1197843;1360339;1487303;1773007;2081899
USL;Предоставление прочих коммунальных, социальных и персональных услуг;183086;218207;275951;324730;417068;522073;621462;585950;700587;776885;860006
DH;Деятельность домашних хозяйств;;;;…;;…;…;…;47;46;48
FP;Косвенно измеряемые услуги финансового посредничества;-179288;;-307147;;;;;;;;
IT;Итого по видам экономической деятельности;9581294;11619750;14879698;18517666;22977344;28484471;35182698;33831324;40040078;47505502;53284542
